Papier / Concept,Notes en Français (Originales),Traduction en Anglais
Prm that think,objectif reasoning pour vérifier les steps et boxed avec correct et incorrecte. [cite: 390] Utilise de la donnée synthétique sur PRM800k mais sur 1k. Générée avec QWQ 32b. [cite: 391] LLM as a judge en reasoning tend à overthink et essayer de retrouver. Train empêche l'overthink et améliore les résultats. [cite: 392] LoRA 32b sur une A100 pendant 4 heures. Batch size 16 [cite: 393],reasoning objective to verify steps and boxed with correct and incorrect. [cite: 390] Uses synthetic data on PRM800k but only 1k. Generated with QWQ 32b. [cite: 391] LLM as a judge in reasoning tends to overthink and try to backtrack. Training prevents overthinking and improves results. [cite: 392] LoRA 32b on an A100 for 4 hours. Batch size 16 [cite: 393]
1 shot rlvr,RLVR sur un exemple très complexe n'overfit pas sur le test set [cite: 393],RLVR on a very complex example does not overfit on the test set [cite: 393]
Prime intellect paper,faire l'inférence sur des serveurs partagés et l'update sur un serveur sûr. [cite: 393]Update les poids et partager les data efficacement[cite: 394]. Toploc vérifie l'intégrité des inférences grâce à un sha256 des checkpoints[cite: 394]. Accepte les générations jusqu'à 5 checkpoints précédents [cite: 394],perform inference on shared servers and update on a secure server. [cite: 393]Update weights and share data efficiently[cite: 394]. Toploc verifies inference integrity thanks to a SHA256 of the checkpoints[cite: 394]. Accepts generations up to 5 previous checkpoints [cite: 394]
Qwen 3 tech report,"archi classique, 3 stages de pretrain avec normal, high qualité en montant le LR, long context[cite: 394]. Thinking et non thinking mode +[cite: 395]. Post Training : COT facile mais besoin de COT filtré avec 2.5 sample avec QWQ, long RL qui a besoin de thinking 4000 paires avec GRPO, non thinking, alignement[cite: 395]. Possibilité de stopper la génération mid thinking[cite: 395]. Distillation des tokens puis des logits [cite: 395]","classic architecture, 3 pretrain stages with normal, high quality by increasing the LR, long context[cite: 394]. Thinking and non-thinking mode +[cite: 395]. Post Training: easy COT but need filtered COT with 2.5 sample with QWQ, long RL that needs thinking 4000 pairs with GRPO, non-thinking, alignment[cite: 395]. Possibility to stop generation mid thinking[cite: 395]. Distillation of tokens then logits [cite: 395]"
Alpha évolve,"en gros un humain propose un problème, une première solution et une évaluation automatique et un LLM fait évoluer le code grâce à l'historique pour améliorer les résultats sur l'évaluation. [cite: 395]","essentially a human proposes a problem, a first solution and an automatic evaluation, and an LLM evolves the code thanks to the history to improve the results on the evaluation. [cite: 395]"
Byte dance pretrain merging,"avec model merging tous les V tokens et pour N models avec une pure moyenne permet de simplifier le scheduler avec un WSD, de stabiliser le training et de mieux le préparer pour les étapes d'après. [cite: 397]Avoir un plus gros LR permet de diminuer le coût [cite: 397]","with model merging all V tokens and for N models with a pure average allows to simplify the scheduler with a WSD, stabilize training, and better prepare it for subsequent stages. [cite: 397]Having a larger LR allows to reduce the cost [cite: 397]"
Rl finetunes small subnetworks in llm,le RL update les poids de façon sparse autour de 80% là où le SFT fait ça dense. [cite: 397]Contrairement à LoRA c'est en full rank et sur toutes les couches. [cite: 398]C'est le cas principalement car les data de RL sont in distribution [cite: 399],"RL updates weights sparsely around 80% while SFT does it densely. [cite: 397]Unlike LoRA, it's full rank and on all layers. [cite: 398]This is mainly because RL data is in distribution [cite: 399]"
Harnessing the universal geometry of embeddings,en apprenant un latent space (avec un generator qui a pour but de translate dans un espace latent) et un discriminator qui force à garder la distribution originale. [cite: 399]En fait dans le latent tous les embeddings sont très similaires et donc c'est facile de retrouver de quoi on parle [cite: 400],"by learning a latent space (with a generator whose goal is to translate into a latent space) and a discriminator which forces the original distribution to be kept. [cite: 399]In fact, in the latent space all embeddings are very similar and so it's easy to find what we're talking about [cite: 400]"
Prolonged rl expands reasoning,"GRPO orienté long train avec Dapo, high temp pour entropy et KL penalty car on part d'un algo déjà COT. [cite: 401]Mais ils ajoutent un reset pour repartir d'une snapshot plus récente sur la KL et prolonger le train quand le modèle stagne. [cite: 401] Ça scale hyper bien en OOD. Le RL apprend vraiment des trucs nouveaux au modèle surtout quand on entraîne longtemps [cite: 402]","GRPO oriented for long training with Dapo, high temp for entropy and KL penalty because we start from an already COT algorithm. [cite: 401]But they add a reset to restart from a more recent KL snapshot and prolong training when the model stagnates. [cite: 401] It scales very well in OOD. RL really teaches the model new things, especially when training for a long time [cite: 402]"
Entropy minimization,objectif est de réduire l'entropie donc maximiser la confiance sur un exemple. [cite: 402]En peu de steps et un exemple on obtient un modèle plus confiant qui s'avère meilleur [cite: 403],"objective is to reduce entropy, thus maximizing confidence on an example. [cite: 402]In few steps and one example we get a more confident model which turns out to be better [cite: 403]"
Reward anything,modèle de reward basé sur des principes (prompt) avec un GRPO sur format et accuracy pour le modèle de reward. [cite: 403]Le modèle rank les réponses et les score [cite: 404],reward model based on principles (prompt) with a GRPO on format and accuracy for the reward model. [cite: 403]The model ranks the responses and scores them [cite: 404]
Deepresearch bench,"100 tâches PhD level représentatives. [cite: 404]RACE : poids décidé par LLM as judge sur 4 critères : comprehensive, depth, instructions following, readbility. [cite: 405]Puis on donne au juge une référence top niveau sur laquelle il score (on ground par le haut)[cite: 406]. FACT : check les citations, regarde si la réponse est ground et combien de citations pertinentes sont retrouvées [cite: 406]","100 representative PhD level tasks. [cite: 404]RACE: weight decided by LLM as judge on 4 criteria: comprehensive, depth, instructions following, readability. [cite: 405]Then the judge is given a top-level reference on which it scores (grounding from the top)[cite: 406]. FACT: checks citations, looks at whether the response is grounded and how many relevant citations are found [cite: 406]"
How visual repr3sentations map to language feature space in multimodal llms,SAE sur Gemma 2 avec la layer de projection train et le ViT et LLM freeze. [cite: 406]Les features de visions convergent seulement dans les dernières layers ce qui peut gâcher le potentiel et pose des questions d'alignement [cite: 407],SAE on Gemma 2 with the trained projection layer and the ViT and LLM frozen. [cite: 406]Vision features only converge in the last layers which can spoil the potential and raises alignment issues [cite: 407]
Bytedance dolphin,"encoder décoder pour parser les documents images, texte, formules, tables. [cite: 407]Swin transformers et MBART fine tune sur 30m doc en anglais et chinois. [cite: 408]2 passes : une qui détecte dans l'ordre de lecture le layout et les éléments avec leur bounding box avec un prompt. [cite: 409]Une qui prend la photo de l'élément avec un prompt spécifique à l'élément pour le parser et le remettre en markdown. [cite: 410]320M et très performant. [cite: 411]","encoder-decoder to parse image documents, text, formulas, tables. [cite: 407]Swin transformers and MBART fine-tuned on 30m docs in English and Chinese. [cite: 408]2 passes: one that detects the layout and elements with their bounding box in reading order with a prompt. [cite: 409]One that takes a picture of the element with a specific prompt for the element to parse it and put it back in markdown. [cite: 410]320M and very performant. [cite: 411]"
Magistral,"GRPO custom (pas de KL donc pas de réf, upper et lower différentes, normalisation du batch et des advantages) pas de truc full juste ou full faux (ressemble à Dapo). [cite: 411]Reward format (code math think) correct length et language (problème, thought et answer dans la même langue) généralise bien aux autres langues[cite: 412]. RL only marche très bien pas forcément besoin de distiller[cite: 412]. Entraîner sur du text améliore les perfs multimodales[cite: 412]. Asynchrone RL : les générations sont continues et les poids des modèles updates en pleine séquence[cite: 412]. Augmente la difficulté, la complétion length et diminue le batch au fur et à mesure du RL [cite: 412]","custom GRPO (no KL so no ref, different upper and lower, normalization of batch and advantages) no full correct or full wrong things (resembles Dapo). [cite: 411]Reward format (code math think) correct length and language (problem, thought, and answer in the same language) generalizes well to other languages[cite: 412]. RL only works very well, not necessarily needing to distill[cite: 412]. Training on text improves multimodal performance[cite: 412]. Asynchronous RL: generations are continuous and model weights update mid-sequence[cite: 412]. Increases difficulty, completion length, and decreases batch size as RL progresses [cite: 412]"
Llm get lost in multiturn conversation,49% de average drop en perf entre simple et multi [cite: 413],49% average drop in performance between single-turn and multi-turn [cite: 413]
Gemma 3n,"audio, image, text. [cite: 413]Matryoshka pour réduire les params, per layer embedding caching pour améliorer la performance des layers. [cite: 413]Possible de offload les paramètres multimodaux. [cite: 414]","audio, image, text. [cite: 413]Matryoshka for parameter reduction, per layer embedding caching to improve layer performance. [cite: 413]Possible to offload multimodal parameters. [cite: 414]"
Hunyuan,"classique SwiGLU MoE 80b 14b active. [cite: 414]Pré Training sur 20T tokens avec annealing et long context avec NTK. [cite: 415]Post Training en dual mode (token thinking empty) avec SFT reasoning, RL reasoning et SFT RL full très divers sur base de GRM sur understanding, long context, creative, agents et MCP, multi-turn, instructions, rôle, safety, QA, multilingual, finance. [cite: 416]Bonnes perfs mais apparemment très benchmarké [cite: 417]","classic SwiGLU MoE 80b, 14b active. [cite: 414]Pre-training on 20T tokens with annealing and long context with NTK. [cite: 415]Post-training in dual mode (thinking token empty) with SFT reasoning, RL reasoning and very diverse full SFT RL based on GRM on understanding, long context, creative, agents and MCP, multi-turn, instructions, role, safety, QA, multilingual, finance. [cite: 416]Good performance but apparently heavily benchmarked [cite: 417]"
Jina v4,"J VDR benchmark avec pas que des questions et du text. [cite: 417]Train sur du retrieval mais aussi sémantique text similarity pour screenshots. [cite: 418] Train sur dense et late interaction et text et multimodal. LoRA pour retriever, code et symétrique. [cite: 419] Analyse des embeddings unifiés en multimodal. Qwen 2.5 VL based [cite: 420]","J VDR benchmark not only with questions and text. [cite: 417]Trained on retrieval but also semantic text similarity for screenshots. [cite: 418] Trained on dense and late interaction and text and multimodal. LoRA for retriever, code and symmetric. [cite: 419] Analysis of unified multimodal embeddings. Qwen 2.5 VL based [cite: 420]"
Mrr / Ndcg,MRR : quand on s'inquiète seulement du rang du premier relevant[cite: 420]. NDCG : quand on s'inquiète du rang et ordre de tous les relevant [cite: 421],MRR: when we only care about the rank of the first relevant item[cite: 420]. NDCG: when we care about the rank and order of all relevant items [cite: 421]
Websailor,"construction de data synthetic et training de modèle Deepresearch. [cite: 421]Deepresearch marche que en propriétaire, les open source marchent que pour des simples recherches ou des trucs où le chemin de résolution est simple. [cite: 422]Il manque le level 3 qui est d'avoir une généralisation quand les tâches n'ont pas de solution claire et définie. [cite: 423]Ils ont pris des graphes de parcours de pages sur des entités complexes pour en extraire des tâches complexes (jusqu'à 40 calls nécessaires pour O3) et utilise des LRM pour extraire des étapes concises de thinking pour faire un dataset. [cite: 424] Phase de rejection sampling SFT puis RL. ReAct et rejection sampling et DUPO : comme ils veulent faire comme Dapo et filtrer les exemples avec full ou 0 reward mais que le rollout coûte cher, ils dupliquent certains reward pour combler le batch [cite: 425]","construction of synthetic data and Deepresearch model training. [cite: 421]Deepresearch only works in proprietary models, open source models only work for simple searches or things where the resolution path is simple. [cite: 422]Level 3 is missing, which is to have generalization when tasks do not have a clear and defined solution. [cite: 423]They topage traversal graphs on complex entities to extract complex tasks (up to 40 calls needed for O3) and use LRM to extract concise thinking steps to create a dataset. [cite: 424] Rejection sampling SFT phase then RL. ReAct and rejection sampling and DUPO: since they want to do like Dapo and filter examples with full or 0 reward but rollout is expensive, they duplicate some rewards to fill the batch [cite: 425]"
Voxtral,Whisper v3 encoder sur des chunks de 30sec en bidirectionnel qui sont concat sans attention commune. [cite: 425]MLP layer pour downsample de 4 fois ce qui fait 12.5kHz donc 32k pour 40 minutes. [cite: 426] Plug à Ministral ou Mistral small. Pretraining sur transcription et audio puis text complétion pour aligner les modes. [cite: 427] Avec des tokens de contrôle. Puis SFT sur des tâches audio et texte [cite: 428],Whisper v3 encoder on 30sec bidirectional chunks that are concatenated without common attention. [cite: 425]MLP layer to downsample 4 times which makes 12.5kHz so 32k for 40 minutes. [cite: 426] Plugs into Ministral or Mistral small. Pretraining on transcription and audio then text completion to align modes. [cite: 427] With control tokens. Then SFT on audio and text tasks [cite: 428]
Nemo Retriever colembed,"Nvidia Eagles fine tune en 2 stages sur text puis image en late interaction. [cite: 428] Découpage de l'image en petit et thumbnails. Finetune pour passer de causal à bidirectionnel. [cite: 429]Dans la InfoNCE la loss est avec 2 négatives qui sont le top2 sans ceux au-dessus de 0.95 de score. [cite: 430] Attention au tiling, max token et embedding dim. Ablations sur le stockage, l'embedding, le reranker et bi encoder. [cite: 431]","Nvidia Eagles fine-tuned in 2 stages on text then image in late interaction. [cite: 428] Image slicing into small pieces and thumbnails. Finetune to switch from causal to bidirectional. [cite: 429]In InfoNCE, the loss is with 2 negatives which are the top 2 without those above 0.95 score. [cite: 430] Attention to tiling, max token, and embedding dim. Ablations on storage, embedding, reranker, and bi encoder. [cite: 431]"
Kimi k2 paper,"MoE 1T 32B active, beaucoup de token MuonCLIP at scale (Adaptive CLIP sur k et q). [cite: 432] Training méga stable. Pipeline de génération synthétique de data agentique comme Acebench avec des milliers de tools en env. [cite: 433]Un LLM as a judge extrait les données de haute qualité pour le train. [cite: 434]Général RL system avec Self judge pour les non vérifiable rewards. [cite: 435]La première couche est un dense[cite: 436]. L'algo est un GRPO pur RL sans advantage × avec la moyenne juste et la KL est dans la somme ? [cite: 436] Ou juste le ratio. Pénalité si réponse trop longue et loss PTX qui vérifie que le modèle overfit pas sur le reward. [cite: 437] Température decay pendant le Training. D'exploration à exécution [cite: 438]","MoE 1T 32B active, lots of MuonCLIP at scale tokens (Adaptive CLIP on k and q). [cite: 432] Mega stable training. Synthetic agentic data generation pipeline like Acebench with thousands of tools in the environment. [cite: 433]An LLM as a judge extracts high-quality data for training. [cite: 434]General RL system with Self judge for non-verifiable rewards. [cite: 435]The first layer is a dense one[cite: 436]. The algorithm is a pure RL GRPO without advantage × with just the average and the KL is in the sum? [cite: 436] Or just the ratio. Penalty if the response is too long and PTX loss that verifies the model doesn't overfit on the reward. [cite: 437] Temperature decay during training. From exploration to execution [cite: 438]"
Muon,"Niveau matrice de full param et gradient, pas element-wise. [cite: 438]Momentum, pas de vélocité donc premier ordre et pas seconde ordre. [cite: 439]Par contre ça utilise le full paramètres dans l'inverse donc le preconditioning est beaucoup plus riche sur les dimensions[cite: 440]. Newton Schultz approxime le −1/2 (inverse squared) qui est le classique precond en optim (sauf que c'est normalement celui du hessien mais coûte en calcul)[cite: 440]. C'est que pour du 2D en terme de param donc la couche d'embedding reste avec du Adam [cite: 440]","Level of full parameter and gradient matrix, not element-wise. [cite: 438]Momentum, no velocity, so first order and not second order. [cite: 439]However, it uses the full parameters in the inverse, so preconditioning is much richer on the dimensions[cite: 440]. Newton Schultz approximates −1/2 (inverse squared) which is the classic precond in optim (except it's normally the Hessian's but is expensive to calculate)[cite: 440]. It's only for 2D in terms of parameters, so the embedding layer remains with Adam [cite: 440]"
Absence benche,NIAH mais version omission. [cite: 441]On propose un document et une version avec une partie supprimée et demande de retrouver ce qui a été omis. [cite: 441]Pour l'instant les perfs sont mauvaises alors que les contextes sont petits. [cite: 442]Un peu un benchmark sur la comparaison [cite: 443],"NIAH but omission version. [cite: 441]A document is proposed and a version with a removed part and it is asked to find what was omitted. [cite: 441]For now, performance is poor even though contexts are small. [cite: 442]A bit of a benchmark on comparison [cite: 443]"
From bytes to ideas,"U-Net sur les bytes pour se priver de tokenizer, stade de recherche. [cite: 443]Un peu comme le meta no token. [cite: 444]","U-Net on bytes to avoid using a tokenizer, research stage. [cite: 443]A bit like the meta no token. [cite: 444]"
Dynamic chunking,"similarité avec bytes to idea, l'idée est d'avoir un autoencoder H net qui chunk dynamiquement les bytes à partir d'une limite d'entropie et similarité puis fournit ça à un main network (genre un LLM) les chunks sont ensuite décodés en bytes [cite: 444]","similarity with bytes to idea, the idea is to have an autoencoder H net that dynamically chunks the bytes from an entropy and similarity limit then provides it to a main network (like an LLM) the chunks are then decoded into bytes [cite: 444]"
Gspo qwen,"GRPO et PPO utilisent le clip pour ne pas trop s'éloigner du old (c'est le proximal) mais en fait le reward est au niveau de la phrase et GRPO au niveau du token donc un haut risque [cite: 445] de variance sur le long contexte. GSPO traite le clip et le ratio au niveau de la séquence et normalise ça, ce qui corrige le problème. [cite: 445]Ça clip beaucoup plus mais améliore la stabilité et les résultats [cite: 446]","GRPO and PPO use clipping so as not to move too far from the old policy (it's the proximal part) but in fact the reward is at the phrase level and GRPO at the token level so a high risk [cite: 445] of variance on long context. GSPO treats clipping and the ratio at the sequence level and normalizes it, which corrects the problem. [cite: 445]It clips much more but improves stability and results [cite: 446]"
Webshaper,"système formal de génération de dataset pour information seeking (IS). [cite: 447]L'idée est de créer un dataset de base à partir de Wikipedia sur un graphe d'entité puis de complexifier les questions avec un agent expander. [cite: 447]Le système formalisé permet d'éviter les hallucinations et structurer les graphes. [cite: 448]L'agent expander a des tools de recherche, résumé et validation. [cite: 449]","formal system for dataset generation for information seeking (IS). [cite: 447]The idea is to create a base dataset from Wikipedia on an entity graph then to complexify the questions with an expander agent. [cite: 447]The formalized system allows avoiding hallucinations and structuring the graphs. [cite: 448]The expander agent has search, summary, and validation tools. [cite: 449]"
Attention sinks,sliding window perd le contexte initial. [cite: 449]L'idée est de toujours garder le KV des premiers tokens (qui ont beaucoup d'importance) et de faire sliding window sur le reste. [cite: 450],sliding window loses the initial context. [cite: 449]The idea is to always keep the KV of the first tokens (which are very important) and to use sliding window on the rest. [cite: 450]
Small language model are the future of agentic,"défense du SLM contre LLM pour l'agentique : les SLM sont puissants, peu chers, fine-tunables et améliorables. [cite: 451]Les agents sont très fermés, précis et utilisent peu de choses du LLM. [cite: 452]Pour ça il faut des benchmark et une bonne évaluation. [cite: 453]","defense of SLM against LLM for agentic tasks: SLMs are powerful, inexpensive, fine-tunable, and improvable. [cite: 451]Agents are very closed, precise, and use little of the LLM. [cite: 452]For this, benchmarks and good evaluation are needed. [cite: 453]"
Seed prover,seed geometry train sur tonggeometry pour les tâches géométriques (ils ont test actor critic mais un seul modèle est mieux). [cite: 454]Seed prover qui utilise Lean 4 en mode lemma qui sont vérifiés pour suivre ce qui marche ou pas et ce qui compile puis theorem. [cite: 455]3 modes : Light qui prove en boucle en améliorant sur le feedback du compiler. [cite: 456]Médium qui refine les fails en ajoutant les pass dans le context. [cite: 457]Heavy qui génère une multitude de facts avec le Light puis les utilise pour le Médium avec un LLM as judge. [cite: 458],"seed geometry trained on tonggeometry for geometric tasks (they tested actor critic but a single model is better). [cite: 454]Seed prover that uses Lean 4 in lemma mode which are verified to track what works or not and what compiles then theorem. [cite: 455]3 modes: Light which proves in a loop, improving based on compiler feedback. [cite: 456]Medium which refines failures by adding passes to the context. [cite: 457]Heavy which generates a multitude of facts with Light then uses them for Medium with an LLM as judge. [cite: 458]"
Gepa,optimisation de prompts par Pareto. L'idée est de générer des candidats d'amélioration de prompts et de les merge ou fusionner si ça améliore une métrique. [cite: 459]Les prompts sont aussi générés avec les traces de la métrique (le détail du score et les steps). [cite: 460] Ça marche vraiment bien. Le Pareto sert à ne pas se focus sur un local. [cite: 461],prompt optimization by Pareto. The idea is to generate candidates for prompt improvement and merge or fuse them if it improves a metric. [cite: 459]Prompts are also generated with the traces of the metric (the detail of the score and the steps). [cite: 460] It works really well. Pareto helps to avoid focusing on a local optimum. [cite: 461]
Hiérarchical reasoning model,hiérarchie avec low level qui coûte pas cher et fait plein de steps et high level qui fait une grosse step pour guider le low level. [cite: 462] RNN. Approximation des gradients sans stocker toutes les forwards mais seul les derniers par rapport à l'input. [cite: 463],hierarchy with low level which is cheap and takes many steps and high level which takes a big step to guide the low level. [cite: 462] RNN. Gradient approximation without storing all forwards but only the last ones relative to the input. [cite: 463]
Qwen image tech report,"MMDIT qui prend pour input Qwen VL pour l'alignement sémantique/image et un VAE encoder pour la reconstruction fiable d'images. [cite: 464] 2 tâches principales t2i et ti2i. MSRoPE qui au lieu de faire comme 2D RoPE et de mettre le text en (x,0) fait sur la diag (x,x) avec l'image centrée en 0. [cite: 465]Grosse étape de filtering des images en 7 stages et en augmentant la qualité. [cite: 466]Train sur la vélocité dans l'espace latent (vélocité = différence entre cst​×noise et cst2​×image de base - le training se fait en samplant un timestep et en prédisant bien la vélocité) [cite: 466]","MMDIT which takes Qwen VL as input for semantic/image alignment and a VAE encoder for reliable image reconstruction. [cite: 464] 2 main tasks t2i and ti2i. MSRoPE which instead of doing like 2D RoPE and putting the text at (x,0) does it on the diagonal (x,x) with the image centered at 0. [cite: 465]Big 7-stage image filtering step and quality improvement. [cite: 466]Train on velocity in latent space (velocity = difference between cst​×noise and cst2​×base image - training is done by sampling a timestep and correctly predicting the velocity) [cite: 466]"
Glm rl Training framework,sensiblement comme Magistral en asynchrone [cite: 467],essentially like Magistral asynchronously [cite: 467]
Glm 4.5,"GLM 4.5 : thinking et non thinking unifié, mid training avec plusieurs epochs sur les data de qualité, post training avec SFT et RL unifié (general DPO, agentic, tool, IF, …) et difficulté qui augmente au cours du training + usage d'experts et self distillation (SFT, RL, SFT avec rejection sampling, RL). [cite: 467]RL Framework synchrone et async avec Ray, Megatron et SGland (slime) [cite: 467]","GLM 4.5: unified thinking and non-thinking, mid-training with multiple epochs on quality data, post-training with unified SFT and RL (general DPO, agentic, tool, IF, …) and increasing difficulty during training + use of experts and self-distillation (SFT, RL, SFT with rejection sampling, RL). [cite: 467]Synchronous and async RL Framework with Ray, Megatron, and SGland (slime) [cite: 467]"
Gpt oss,"attention sink, sliding, attention is off by one et classique [cite: 468]","attention sink, sliding, attention is off by one and classic [cite: 468]"
Glm (RL),"adapte la difficulté au fur et à mesure. [cite: 468] Mix RLVR et RLHF. Clip plus haut et pas de KL divergence pour les modèles de vision. [cite: 468]SFT : token level loss donc backprop et gradient au niveau du token puis average[cite: 469]. GRPO et GSPO : c'est plutôt au niveau de la séquence mais comme on a des rollouts et un advantage, on sait quel rollout impacte mieux et vers qui on doit aller niveau séquence [cite: 469]","gradually adapts difficulty. [cite: 468] Mix RLVR and RLHF. Higher clip and no KL divergence for vision models. [cite: 468]SFT: token level loss so backprop and gradient at the token level then average[cite: 469]. GRPO and GSPO: it's more at the sequence level but since we have rollouts and an advantage, we know which rollout impacts better and where we should go at the sequence level [cite: 469]"
Byte dance multimodal agent long terme memory,"un modèle qui construit une mémoire à partir de vidéos et audio en stockant les images, audio et des sémantiques et metadata dans un graphe par entité. [cite: 470]Ensuite modèle train sur Dapo pour RAG et réponse à partir de la mémoire [cite: 470]","a model that builds memory from videos and audio by storing images, audio and semantics and metadata in a graph per entity. [cite: 470]Then model trained on Dapo for RAG and response from memory [cite: 470]"
Treat paper diffusion,diffusion en skippant des layers par token améliore les performances [cite: 471],diffusion by skipping layers per token improves performance [cite: 471]
Computer rl,génération d'API à partir de GUI pour Training et unification API/GUI. [cite: 471]Alternance entre RL et SFT pour limiter l'entropie collapse en réutilisant des trajectoires qui ont fonctionné. [cite: 472]Step wise GRPO [cite: 473],API generation from GUI for training and API/GUI unification. [cite: 471]Alternation between RL and SFT to limit entropy collapse by reusing trajectories that worked. [cite: 472]Step wise GRPO [cite: 473]
Real MM rag ibm,filtering de questions par LLM et rephrasing pour pas avoir les mots de la page direct. [cite: 473] Accurate labelling en faisant toutes les permutations par page avec un VLM. Cher mais utile. [cite: 474],question filtering by LLM and rephrasing so as not to have the words of the page directly. [cite: 473] Accurate labeling by doing all permutations per page with a VLM. Expensive but useful. [cite: 474]
Dupo bytedance,RLHF et RLVR coûtent cher[cite: 475]. L'idée est d'utiliser une dual task donc reconstruire l'input et train sur la distance de reconstruction. [cite: 476]Sauf que parfois c'est dur donc l'idée est de donner des éléments. [cite: 476]Exemple a+b=c on reconstruit a avec b et c. [cite: 477],RLHF and RLVR are expensive[cite: 475]. The idea is to use a dual task so reconstruct the input and train on the reconstruction distance. [cite: 476]Except that sometimes it's difficult so the idea is to provide elements. [cite: 476]Example a+b=c we reconstruct a with b and c. [cite: 477]
Bytedance pass@k Training,l'idée est se faire RLVR sur pass@k au lieu de pass@1. [cite: 478]Sauf que n rollout sur pass@k coûte cher donc on bootstrap (sample k random parmi les rollout le nombre de fois nécessaire) pour limiter les rollouts. [cite: 479] En fait on peut même avoir direct l'advantage d'une réponse positive et négative. Pass@k permet de mieux balancer l'exploration. [cite: 480],"the idea is to do RLVR on pass@k instead of pass@1. [cite: 478]Except that n rollout on pass@k is expensive so we bootstrap (sample k random among the rollouts the necessary number of times) to limit rollouts. [cite: 479] In fact, we can even directly have the advantage of a positive and negative response. Pass@k allows for better exploration balance. [cite: 480]"
Constitutional ai anthropic,l'idée est de self improve un modèle à partir de principes décrits par l'homme qui sont utilisés par le même modèle pour améliorer ou scorer des réponses plutôt que directement l'humain qui corrige ou note les réponses. [cite: 481]Chain of Thought améliore le process et il y a une step révision SFT et une step scoring preference et RLAIF [cite: 482],the idea is to self-improve a model based on human-described principles that are used by the same model to improve or score responses rather than directly by the human who corrects or rates the responses. [cite: 481]Chain of Thought improves the process and there is an SFT revision step and a preference scoring step and RLAIF [cite: 482]
Long cat llm,shortcut MoE avec 2 MLA et des FFN et MoE. [cite: 482]Le MoE shortcut sans passer par la 2ème MLA cela permet de passer la partie shortcut pendant le dispatch des EP sans perdre de temps de compute. [cite: 483]Zéro computation experts avec des experts qui retournent l'input directement. [cite: 484] Rescaling de q et k hors de la partie RoPE sur la dimension full pour améliorer la loss. Multi-token prediction. [cite: 485] Transfert d'hyperparamètres à partir d'un proxy. Stack d'un proxy un peu train pour l'initialisation. [cite: 486],shortcut MoE with 2 MLA and FFN and MoE. [cite: 482]MoE shortcut without passing through the 2nd MLA allows skipping the shortcut part during EP dispatch without losing compute time. [cite: 483]Zero computation experts with experts that return the input directly. [cite: 484] Rescaling of q and k outside of the RoPE part on the full dimension to improve the loss. Multi-token prediction. [cite: 485] Hyperparameter transfer from a proxy. Stacking of a slightly trained proxy for initialization. [cite: 486]
Sfr deep research,"single agent deep research avec pur RL sur un modèle optimisé pour reasoning. [cite: 487]Une partie du context est dédié à la mémoire et un tool pour clean est utilisé par l'agent lorsque ça dépasse. [cite: 488]3 tools très simples : search, browse page section et code interpreter. [cite: 489]Tous les token de thinking sont supprimés de l'historique chaque turn. [cite: 490]Notification d'erreur pour laisser retry ou reformuler et être fault tolerant. [cite: 491]Custom reinforce sur les steps avec une normalisation de l'advantage sur la length. [cite: 492]Ils disent que mettre tout sur les mêmes GPUs améliore l'utilisation contrairement à la séparation. [cite: 493]","single agent deep research with pure RL on a model optimized for reasoning. [cite: 487]Part of the context is dedicated to memory and a cleaning tool is used by the agent when it exceeds the limit. [cite: 488]3 very simple tools: search, browse page section, and code interpreter. [cite: 489]All thinking tokens are deleted from the history each turn. [cite: 490]Error notification to allow retry or reformulation and be fault tolerant. [cite: 491]Custom reinforce on the steps with a normalization of the advantage over the length. [cite: 492]They say that putting everything on the same GPUs improves utilization unlike separation. [cite: 493]"
Revolutionizing rl for diffusion,"TraceRL la policy est le diffuseur, le state la mask séquence et prompt et la prediction est la génération des token mask. [cite: 494]Recurrence frame based action [cite: 494]","TraceRL the policy is the diffuser, the state the mask sequence and prompt and the prediction is the generation of mask tokens. [cite: 494]Recurrence frame based action [cite: 494]"
Tiny récurrent models (HRM),"explication super claire de HRM avec les points qui posent problème. [cite: 495]Ils améliorent le modèle en n'ayant qu'un seul modèle au lieu de 2, ils font des ablations sur tous les paramètres (nombre de layers, nombre de fréquence) et choisissent 2 embeddings, un qui représente le latent et un qui représente la réponse. [cite: 496]Un forward correspond à n améliorations récursives du latent et une amélioration de la réponse. [cite: 497]Pendant T−1 étapes récursives on améliore la réponse puis on fait une dernière étape de deep supervision (comprendre backpropagation) pour faire une dernière passe. [cite: 498]Il y a une alternative sans couche d'attention avec un pur MLP pour les tâches à petits contextes à taille fixe [cite: 499]","super clear explanation of HRM with the problematic points. [cite: 495]They improve the model by having only one model instead of 2, they do ablations on all parameters (number of layers, number of frequency) and choose 2 embeddings, one representing the latent and one representing the answer. [cite: 496]A forward corresponds to n recursive latent improvements and one response improvement. [cite: 497]During T−1 recursive steps we improve the response then we do a last deep supervision step (meaning backpropagation) for a final pass. [cite: 498]There is an alternative without an attention layer with a pure MLP for small, fixed-size context tasks [cite: 499]"
